"material","provider","thickness","length","width","display","sheet_cost"
"Brass 260","online-metals",0.08,36,12,"Brass 260-L-36.000-W-12.000-T-0.080",135.17
"Brass 260","online-metals",0.08,24,12,"Brass 260-L-24.000-W-12.000-T-0.080",116.8
"Brass 260","online-metals",0.08,12,12,"Brass 260-L-12.000-W-12.000-T-0.080",60.48
"Brass 260","online-metals",0.06,48,36,"Brass 260-L-48.000-W-36.000-T-0.060",326.5
"Brass 260","online-metals",0.06,36,36,"Brass 260-L-36.000-W-36.000-T-0.060",256.82
"Brass 260","online-metals",0.06,48,24,"Brass 260-L-48.000-W-24.000-T-0.060",228.29
"Brass 260","online-metals",0.06,36,24,"Brass 260-L-36.000-W-24.000-T-0.060",201
"Brass 260","online-metals",0.06,24,24,"Brass 260-L-24.000-W-24.000-T-0.060",137.03
"Brass 260","online-metals",0.06,36,12,"Brass 260-L-36.000-W-12.000-T-0.060",121.8
"Brass 260","online-metals",0.06,48,12,"Brass 260-L-48.000-W-12.000-T-0.060",137.03
"Brass 260","online-metals",0.06,24,12,"Brass 260-L-24.000-W-12.000-T-0.060",94.75
"Brass 260","online-metals",0.06,12,12,"Brass 260-L-12.000-W-12.000-T-0.060",49.06
"Brass 260","online-metals",0.05,48,36,"Brass 260-L-48.000-W-36.000-T-0.050",259.13
"Brass 260","online-metals",0.05,36,36,"Brass 260-L-36.000-W-36.000-T-0.050",211.97
"Brass 260","online-metals",0.05,48,24,"Brass 260-L-48.000-W-24.000-T-0.050",207.88
"Brass 260","online-metals",0.05,36,24,"Brass 260-L-36.000-W-24.000-T-0.050",159.5
"Brass 260","online-metals",0.05,24,24,"Brass 260-L-24.000-W-24.000-T-0.050",120.86
"Brass 260","online-metals",0.05,48,12,"Brass 260-L-48.000-W-12.000-T-0.050",120.86
"Brass 260","online-metals",0.05,36,12,"Brass 260-L-36.000-W-12.000-T-0.050",96.69
"Brass 260","online-metals",0.05,24,12,"Brass 260-L-24.000-W-12.000-T-0.050",75.2
"Brass 260","online-metals",0.05,12,12,"Brass 260-L-12.000-W-12.000-T-0.050",38.93
"Brass 260","online-metals",0.04,48,36,"Brass 260-L-48.000-W-36.000-T-0.040",215.61
"Brass 260","online-metals",0.04,36,36,"Brass 260-L-36.000-W-36.000-T-0.040",187.09
"Brass 260","online-metals",0.04,48,24,"Brass 260-L-48.000-W-24.000-T-0.040",166.29
"Brass 260","online-metals",0.04,36,24,"Brass 260-L-36.000-W-24.000-T-0.040",127.61
"Brass 260","online-metals",0.04,24,24,"Brass 260-L-24.000-W-24.000-T-0.040",96.69
"Brass 260","online-metals",0.04,24,12,"Brass 260-L-24.000-W-12.000-T-0.040",60.14
"Brass 260","online-metals",0.04,12,12,"Brass 260-L-12.000-W-12.000-T-0.040",31.16
"Brass 260","online-metals",0.04,36,12,"Brass 260-L-36.000-W-12.000-T-0.040",77.34
"Brass 260","online-metals",0.04,48,12,"Brass 260-L-48.000-W-12.000-T-0.040",96.69
"Brass 260","online-metals",0.03,48,36,"Brass 260-L-48.000-W-36.000-T-0.030",190.26
"Brass 260","online-metals",0.03,36,36,"Brass 260-L-36.000-W-36.000-T-0.030",149.65
"Brass 260","online-metals",0.03,48,24,"Brass 260-L-48.000-W-24.000-T-0.030",133.03
"Brass 260","online-metals",0.03,36,24,"Brass 260-L-36.000-W-24.000-T-0.030",113.44
"Brass 260","online-metals",0.03,24,24,"Brass 260-L-24.000-W-24.000-T-0.030",77.34
"Brass 260","online-metals",0.03,36,12,"Brass 260-L-36.000-W-12.000-T-0.030",61.86
"Brass 260","online-metals",0.03,48,12,"Brass 260-L-48.000-W-12.000-T-0.030",77.34
"Brass 260","online-metals",0.03,12,12,"Brass 260-L-12.000-W-12.000-T-0.030",24.92
"Brass 260","online-metals",0.03,24,12,"Brass 260-L-24.000-W-12.000-T-0.030",48.12
"Brass 260","online-metals",0.02,48,36,"Brass 260-L-48.000-W-36.000-T-0.020",144.3
"Brass 260","online-metals",0.02,36,36,"Brass 260-L-36.000-W-36.000-T-0.020",113.51
"Brass 260","online-metals",0.02,48,24,"Brass 260-L-48.000-W-24.000-T-0.020",112.11
"Brass 260","online-metals",0.02,36,24,"Brass 260-L-36.000-W-24.000-T-0.020",86.03
"Brass 260","online-metals",0.02,24,24,"Brass 260-L-24.000-W-24.000-T-0.020",58.68
"Brass 260","online-metals",0.02,48,12,"Brass 260-L-48.000-W-12.000-T-0.020",58.68
"Brass 260","online-metals",0.02,24,12,"Brass 260-L-24.000-W-12.000-T-0.020",36.49
"Brass 260","online-metals",0.02,12,12,"Brass 260-L-12.000-W-12.000-T-0.020",18.89
"Brass 260","online-metals",0.02,36,12,"Brass 260-L-36.000-W-12.000-T-0.020",46.93
"Brass 260","online-metals",0.02,48,36,"Brass 260-L-48.000-W-36.000-T-0.020",118.93
"Brass 260","online-metals",0.02,36,36,"Brass 260-L-36.000-W-36.000-T-0.020",103.9
